feature,value,B-LOC,B-MISC,B-ORG,B-PER,I-LOC,I-MISC,I-ORG,I-PER,O
attn_0_0_outputs,0,-0.5317974,-0.3799065,0.60001427,0.31471395,-0.5433567,-0.5721937,-0.3198112,-0.7554667,0.06556261
attn_0_0_outputs,1,-0.8619119,-0.8242742,-1.0489814,1.2219465,-0.2846069,-0.49278903,-0.32170266,0.62394804,0.33892438
attn_0_0_outputs,10,-1.5881058,0.47656286,-1.3301322,0.027713725,-0.9407961,0.5233081,-0.59183246,-1.8543863,0.82163763
attn_0_0_outputs,11,-1.031576,-0.94360626,0.49034557,0.5382956,0.1568252,-0.15036252,-0.096645266,-0.6111233,0.06975825
attn_0_0_outputs,12,0.58890486,-1.8342651,-1.436985,0.46749407,-0.23209244,-0.7744268,-0.4446109,0.17146619,0.4157502
attn_0_0_outputs,13,-0.16736981,-0.9481468,-0.35922194,-0.15335613,-0.617296,-0.18446718,-1.6072414,0.15194337,0.4620245
attn_0_0_outputs,14,-0.025104066,-0.35028458,0.11810249,-0.56938314,0.8749622,-0.0047341096,-0.5070292,-1.2271386,0.68598145
attn_0_0_outputs,15,-0.29503837,1.9221066,-0.45465517,-0.13837227,-1.0879977,0.85682565,0.14886345,-0.67938554,-0.49015933
attn_0_0_outputs,16,-1.1032789,-0.2685509,0.2566633,-0.27133447,-0.9798889,-0.1955686,0.2674442,0.18048313,0.30270633
attn_0_0_outputs,17,-0.6929744,1.315022,-0.5669213,-0.0832879,-1.3455253,0.21190238,-0.21668757,-0.6521322,0.058359183
attn_0_0_outputs,18,-0.37783426,-0.52423227,0.7117343,-0.4720294,0.38942757,-0.58627343,0.07194582,-1.2060502,0.38114747
attn_0_0_outputs,19,-0.21721983,-0.44263726,-0.35240683,-1.0762112,-0.74562836,0.62226945,-0.60019356,-1.1389053,0.4800373
attn_0_0_outputs,2,-0.56679165,0.66494054,0.32358983,-0.07062647,0.3721605,0.013689918,0.094827004,-0.18181625,0.7796871
attn_0_0_outputs,20,0.43461987,0.36687896,0.21461098,0.82058316,-0.4256027,-0.04420493,-0.42555645,0.08857331,-1.1129419
attn_0_0_outputs,21,-0.3189389,-0.34469593,0.39314416,-0.73306894,-0.111495994,-0.81261545,-0.16018753,-0.3725972,0.45302093
attn_0_0_outputs,22,0.09312034,-0.46089804,0.7531965,0.024556564,-1.3384761,-0.118599415,-0.03479941,-0.14279912,0.32705158
attn_0_0_outputs,23,-0.49870634,-0.20017664,-0.7672406,0.47605488,-0.7252401,0.53295237,0.024160933,0.15158665,-0.6088929
attn_0_0_outputs,24,-0.040912148,0.12378152,-1.3675458,1.1772593,-0.07786196,0.09345385,-0.9907713,0.48588935,-0.17985514
attn_0_0_outputs,25,-0.4896848,-0.8571183,0.34307483,0.15609394,-0.84606755,-0.018614998,0.1175968,0.13654958,0.30627653
attn_0_0_outputs,26,0.05094862,-0.359551,0.5844038,-0.14356698,-0.06738594,-0.56725216,-0.040243745,-0.94819486,0.28555247
attn_0_0_outputs,27,-0.9216434,-0.14054753,-0.93901443,-0.08548204,-1.1545893,-1.4212445,-1.2855601,-0.5194879,0.64592516
attn_0_0_outputs,28,0.52229285,-1.2990077,1.8997277,-0.96334046,0.29769656,-1.3932192,0.7204389,-0.026974432,-1.3003123
attn_0_0_outputs,29,0.031783182,-0.8531893,0.61667824,-0.7135779,-1.063413,-0.5575311,0.2415923,-0.5241654,0.033307474
attn_0_0_outputs,3,-0.3833033,-1.1857529,0.96905684,0.15279317,0.4385229,-0.2592557,0.41717318,-1.4177781,0.287228
attn_0_0_outputs,30,0.46424392,-0.66249627,0.069675766,-0.35951415,0.47611272,-0.025532767,0.30607557,1.0095288,0.15853712
attn_0_0_outputs,31,-0.5321759,0.1575449,-0.37326485,0.542001,-0.041410133,-0.30055326,0.14585327,0.5109061,-0.25649953
attn_0_0_outputs,4,0.008701855,-1.4626801,0.021578481,0.3002612,-0.2920091,0.014092475,0.061322838,0.29827982,0.020790426
attn_0_0_outputs,5,-0.9874882,0.07670183,1.0241826,-0.66181,-0.55935717,-0.39304215,0.36292043,-0.84579045,0.26229274
attn_0_0_outputs,6,-0.1292917,0.051727906,0.37063003,-0.08606488,0.031914607,-0.39254856,0.55663484,0.2279123,0.49845964
attn_0_0_outputs,7,-0.7637479,0.16483791,-0.0028779216,0.32477236,-2.1282384,-0.5024042,0.44547254,0.14926437,0.20032822
attn_0_0_outputs,8,0.17196557,-0.36794224,-0.3226757,0.5607314,-0.0317906,-0.2649859,-0.46195346,0.29604098,0.22405335
attn_0_0_outputs,9,-0.38333493,0.22911716,0.3711807,-0.21864952,-0.5419873,-0.28215116,0.6021546,-0.6763687,0.23210885
attn_0_1_outputs,0,0.038421214,-0.07877699,-0.44245037,-0.24472637,-0.72302353,-0.12642165,0.7184948,0.08281759,0.0027338779
attn_0_1_outputs,1,-0.1612972,-0.28390002,-0.19858578,-0.7371498,-0.030745035,-0.5444998,-0.21226758,-0.21210982,-0.050978858
attn_0_1_outputs,10,-0.3181644,-0.021815639,-0.28392163,0.1861025,-0.3112716,0.06042726,-0.14695811,-0.38292888,0.04045145
