feature,value,0,1,2,3,4
attn_0_0_outputs,0,4.3986635,-2.354639,-2.8206723,-1.6696792,-0.5136589
attn_0_0_outputs,1,-1.0903196,4.526765,-0.64823246,-1.1756486,-1.9095837
attn_0_0_outputs,2,-1.5134481,-1.603064,4.424058,-1.6854975,-1.7325327
attn_0_0_outputs,3,-1.1864718,-2.0023332,-1.2872586,4.6266923,-2.4927871
attn_0_0_outputs,4,-2.0804226,-2.071116,-1.4647492,-1.7907292,5.8868237
attn_0_0_outputs,</s>,3.064445,-0.66191727,-1.6692063,0.24184357,-1.2886552
attn_0_0_outputs,<pad>,-0.042299222,-0.2497143,-0.38491416,0.51054454,0.33798444
attn_0_0_outputs,<s>,-0.19247234,0.020382471,0.2901584,-0.34262884,-0.2697987
attn_0_1_outputs,0,5.1667795,-2.5384443,-2.8175702,-1.9651254,-1.982818
attn_0_1_outputs,1,-2.1285288,5.358622,-0.6587801,-1.534819,-0.93964505
attn_0_1_outputs,2,-2.4660926,-1.2872738,4.7857695,-1.6746255,-1.7579404
attn_0_1_outputs,3,-3.3151526,-2.1439316,-2.5288012,5.5720654,-1.751846
attn_0_1_outputs,4,-1.4477965,-2.302107,-0.8510375,-1.0174705,4.8319073
attn_0_1_outputs,</s>,0.5172705,-0.61548847,-0.6869826,0.4175919,0.94191766
attn_0_1_outputs,<pad>,0.41452464,-0.23512065,-0.25462973,-0.5634657,-0.39281043
attn_0_1_outputs,<s>,0.33827642,0.96461487,0.67846876,0.002231521,-0.9948693
attn_0_2_outputs,0,1.7839597,-3.721588,0.5334581,-1.5989944,1.4774015
attn_0_2_outputs,1,-1.16095,2.1506534,0.29739812,-1.3246485,0.1346778
attn_0_2_outputs,2,0.2034529,-0.21244973,-0.09147975,0.83025306,-0.112188585
attn_0_2_outputs,3,-0.88528717,-0.19520505,1.1780382,0.34206253,0.9899014
attn_0_2_outputs,4,-0.0432827,-1.0204133,-1.2111869,1.0887113,1.3815725
attn_0_2_outputs,</s>,0.627383,0.9644124,-0.32142478,1.2559954,-1.3732922
attn_0_2_outputs,<pad>,0.4930899,-0.22005045,0.1566467,0.24491477,0.04427239
attn_0_2_outputs,<s>,0.19322322,-0.5276084,-0.6659643,0.43202865,0.63618714
attn_0_3_outputs,0,2.4335823,-1.4996943,-1.9926416,-1.6862538,-0.45455614
attn_0_3_outputs,1,-1.2716529,2.2943277,-0.34706554,-0.6217192,0.0897997
attn_0_3_outputs,2,-1.1065192,-0.3260403,2.06755,-0.9253779,-0.35422397
attn_0_3_outputs,3,-2.0832179,-0.83885175,-1.4072292,2.8055007,-0.7824934
attn_0_3_outputs,4,-0.24189758,-1.6659658,0.14233163,-1.0143077,1.9189287
attn_0_3_outputs,</s>,0.37429807,-0.13446644,-1.1512376,-0.03830446,0.9411796
attn_0_3_outputs,<pad>,0.39135844,0.4737996,0.30553064,0.47811753,0.20613605
attn_0_3_outputs,<s>,0.49803776,0.0097944895,0.4451394,-0.6929134,-1.1845442
attn_1_0_outputs,0,1.7366736,0.2852293,-0.6074815,-0.7977009,0.3061663
attn_1_0_outputs,1,0.07534152,-0.3185565,0.29822978,-0.19740924,-1.3606666
attn_1_0_outputs,2,-1.3849052,0.34429133,1.4352198,-1.2445095,0.09714535
attn_1_0_outputs,3,-0.43347263,0.16949187,-1.0328833,0.43182966,-0.091046244
attn_1_0_outputs,4,-0.5411838,0.8713371,-0.027133444,-0.9950429,1.7453285
attn_1_0_outputs,</s>,-0.09495806,-0.60395426,1.0078745,0.22161874,-1.5458497
attn_1_0_outputs,<pad>,0.875919,0.37285954,1.0075028,0.014196615,0.27423358
attn_1_0_outputs,<s>,2.0281358,-0.71614766,-0.8155638,-0.2809983,0.40480185
attn_1_1_outputs,0,1.3692135,-0.48784047,-1.1082876,-0.26432452,1.1912541
attn_1_1_outputs,1,-2.3158495,1.0404738,1.1522948,1.2106761,0.09608009
attn_1_1_outputs,2,-0.71526873,0.07401517,-0.085113905,-0.62540525,-0.32498127
attn_1_1_outputs,3,1.6758498,-0.34375495,-1.086849,0.4652774,-0.69742996
attn_1_1_outputs,4,0.03925165,0.36294615,0.30734903,0.014649256,0.051170822
attn_1_1_outputs,5,1.8523703,-1.6911108,1.276203,-0.7194571,1.0208948
attn_1_1_outputs,6,-0.70401174,0.033711076,0.26556057,-0.32390776,0.051898766
attn_1_1_outputs,7,-0.107930444,-0.13332126,0.18706304,-0.21556512,-0.5035426
attn_1_2_outputs,0,1.2156405,0.18639702,-0.44910666,-0.13659552,-0.46504545
attn_1_2_outputs,1,-0.8435942,0.6887177,-0.37929142,-0.40249333,0.45599112
attn_1_2_outputs,2,-0.7214362,-0.18734024,0.72701484,0.42614692,0.94102275
attn_1_2_outputs,3,-0.24335603,-0.1497466,-0.7486754,0.56277686,-0.34427395
attn_1_2_outputs,4,-1.00945,0.44746298,-0.05371671,-0.20577009,1.5546579
attn_1_2_outputs,</s>,1.5807456,0.3428648,-1.2308186,-0.38659668,-0.7312007
attn_1_2_outputs,<pad>,-0.08164001,0.76131546,-0.2606642,-0.0961896,0.17057599
attn_1_2_outputs,<s>,1.0314586,-0.5133077,-0.74239415,-0.0283367,-0.13387497
attn_1_3_outputs,0,4.6103687,-2.4530442,-0.7720519,-1.7111199,-1.2183092
attn_1_3_outputs,1,-1.1677562,3.9562595,0.23408204,-1.5552884,-0.21890953
attn_1_3_outputs,2,-1.7599148,0.44170517,2.728395,-0.58879715,-2.3931124
attn_1_3_outputs,3,-1.2489954,-1.7675833,-0.62853307,3.7815843,-1.3978474
attn_1_3_outputs,4,0.71604824,-2.2962425,0.12933074,-1.1312152,2.282676
attn_1_3_outputs,</s>,0.7350266,0.6118705,-2.532629,-0.7949956,2.1613684
attn_1_3_outputs,<pad>,0.23924287,0.90654385,0.018822055,-0.6884243,0.16164272
