feature,value,0,1,2,3,4
attn_0_0_outputs,0,6.0243726,-2.734868,-1.8086069,-2.7272067,-2.6133873
attn_0_0_outputs,1,-0.15076204,-0.11081926,-0.41347098,0.75529075,-0.4086888
attn_0_0_outputs,2,-0.5836649,0.09254377,0.13122897,0.56847644,0.16569707
attn_0_0_outputs,3,-2.4671373,-2.5099,-1.6377952,4.1104784,-0.63873255
attn_0_0_outputs,4,-5.0807614,-0.82604855,-0.3982327,-1.200682,6.0424304
attn_0_0_outputs,</s>,-0.22839089,-0.19806367,-0.34231335,0.45301268,-0.13330354
attn_0_0_outputs,<pad>,-0.4668669,0.3812005,-0.13885453,0.5515376,0.20165999
attn_0_0_outputs,<s>,-2.9107442,1.6967263,2.0497644,-0.56965446,-0.43016002
attn_0_1_outputs,0,0.0019744858,0.5936727,0.33261785,-0.48461527,-1.8959179
attn_0_1_outputs,1,1.1050669,2.305228,0.42041245,-1.1840187,-2.229192
attn_0_1_outputs,2,0.21044974,0.004625764,0.9514686,0.37495273,-2.2460566
attn_0_1_outputs,3,-1.2285477,-0.06738461,0.47961685,0.5165174,-0.5056851
attn_0_1_outputs,4,-1.2132555,-0.6910607,0.3275411,0.19671701,1.6107007
attn_0_1_outputs,</s>,-7.4108996,-8.702547,-4.6193223,4.7771997,12.295422
attn_0_1_outputs,<pad>,0.30880725,-0.32152542,-0.15524095,-0.53467256,-0.35824692
attn_0_1_outputs,<s>,-0.6374888,0.11350642,0.20993872,0.5630098,0.63850176
attn_0_2_outputs,0,4.830093,-1.7632614,-2.2886028,-3.4041443,-0.083445564
attn_0_2_outputs,1,0.34988487,0.73787206,-0.43259585,-0.24295224,0.27107525
attn_0_2_outputs,2,-0.70000285,-3.6763725,3.5842035,-0.99258435,0.20957643
attn_0_2_outputs,3,-0.90952504,1.6757818,0.940267,2.0730205,-2.4915423
attn_0_2_outputs,4,-7.342078,-3.5001156,-3.2932518,3.815991,5.1922617
attn_0_2_outputs,</s>,-0.026849521,-0.1499711,0.04900238,0.12781888,0.7721186
attn_0_2_outputs,<pad>,0.36829406,-0.27969572,0.2566594,0.2574388,0.077323146
attn_0_2_outputs,<s>,-2.0994139,1.9084903,-0.47922328,-1.5533752,3.511009
attn_0_3_outputs,0,2.206049,0.65824556,-0.83643585,-1.9102165,-2.959496
attn_0_3_outputs,1,0.60705274,2.549999,0.9957442,-1.4249991,-3.0275886
attn_0_3_outputs,2,0.4047941,0.7616513,0.24947135,-0.47249037,-0.25597766
attn_0_3_outputs,3,-1.3166505,-1.2196167,0.19045267,1.2371151,-0.38831437
attn_0_3_outputs,4,-2.1620262,-2.6987288,-0.91099393,0.32829082,2.8143466
attn_0_3_outputs,</s>,-5.698147,-5.6392965,-0.9724606,2.0536537,7.394041
attn_0_3_outputs,<pad>,0.35338435,0.4569568,0.30175775,0.4687583,0.2714472
attn_0_3_outputs,<s>,-3.4915357,-3.279741,-0.65743214,1.5185434,3.656853
attn_1_0_outputs,0,2.3456037,4.185294,2.1591222,-2.987097,-5.917015
attn_1_0_outputs,1,0.5447361,6.1092343,-3.7580829,-1.7926391,-0.6201568
attn_1_0_outputs,2,0.00032455093,-1.629027,-0.123261884,0.07857446,0.8663459
attn_1_0_outputs,3,-3.5333915,-2.982256,1.5279514,1.2603492,1.8377137
attn_1_0_outputs,4,-5.945599,-4.069072,-1.5581975,1.1203634,7.124984
attn_1_0_outputs,</s>,-0.04384688,-1.3291312,-0.056305084,-0.36307842,0.5580551
attn_1_0_outputs,<pad>,0.7635349,-0.14806977,1.1237026,0.22835574,0.28561127
attn_1_0_outputs,<s>,0.8320168,-3.5312593,0.6788502,1.7857916,0.32861367
attn_1_1_outputs,0,3.2024224,0.9524471,0.014310482,-1.3254564,-3.4979637
attn_1_1_outputs,1,1.5338374,4.474686,1.4089125,-2.8414445,-6.125926
attn_1_1_outputs,2,-0.4514374,-0.5475224,0.7380654,0.25435838,-0.41633508
attn_1_1_outputs,3,-2.6936467,-2.5154917,0.77118,2.5367413,0.80367136
attn_1_1_outputs,4,-2.7980762,-3.566942,-0.121461995,1.1796274,4.8388495
attn_1_1_outputs,</s>,-3.9298112,-3.285932,-0.75435454,0.77935445,4.6564636
attn_1_1_outputs,<pad>,-0.1149157,-0.04013939,0.16147374,0.2817064,0.42024583
attn_1_1_outputs,<s>,-2.5475323,-4.6781116,-2.1395807,0.41448295,6.325202
attn_1_2_outputs,0,4.5005684,1.7178215,-0.330151,-1.9263101,-3.9407043
attn_1_2_outputs,1,1.842965,4.7223873,1.5045052,-3.3711357,-5.5833807
attn_1_2_outputs,2,-0.13381289,0.26936868,0.5266966,0.117307074,-0.03807414
attn_1_2_outputs,3,-2.988892,-1.8686748,0.030972011,1.960382,1.6114265
attn_1_2_outputs,4,-3.2580948,-4.1073685,-1.4586488,0.42215854,6.3407393
attn_1_2_outputs,</s>,-5.3995423,-6.6164007,-1.4003234,2.8706577,5.764303
attn_1_2_outputs,<pad>,-0.15713161,0.5726933,-0.34293973,-0.013982228,0.324382
attn_1_2_outputs,<s>,-2.8500247,-2.3928013,-1.8224561,2.5206153,2.9205909
attn_1_3_outputs,0,-0.8591586,-0.16859464,0.037841734,0.39888102,0.6218955
attn_1_3_outputs,1,-0.6977428,0.7875782,-0.12668583,0.76239735,1.0131038
attn_1_3_outputs,2,-0.72065586,-0.47902158,-0.12598883,0.060717307,0.70060855
attn_1_3_outputs,3,-1.0593349,-0.27689406,-0.06511549,0.74522865,0.92207766
attn_1_3_outputs,4,-1.230844,-0.5034686,0.05091759,0.7784434,1.3118869
attn_1_3_outputs,</s>,-0.77189237,-0.7942078,-0.0058813556,0.15539944,0.7791626
attn_1_3_outputs,<pad>,0.15787454,0.66406804,0.03687753,-0.6174558,0.26291886
attn_1_3_outputs,<s>,-0.6541354,0.03993259,-0.36405668,0.21905087,0.80299217
attn_2_0_outputs,0,-0.37779388,-0.39518234,-0.22670315,0.4790063,0.30434525
attn_2_0_outputs,1,-0.46965584,0.2479049,-0.10925615,-0.13797967,-0.25900725
attn_2_0_outputs,2,-0.15793493,-0.36930886,0.012450448,0.44602737,0.5036242
attn_2_0_outputs,3,-1.0271589,-0.6775589,0.23813857,1.2521286,1.4275526
attn_2_0_outputs,4,-1.4209307,-1.4484788,-0.47274435,0.4809758,1.7740695
attn_2_0_outputs,</s>,-1.1587802,-1.4219146,-0.1427677,0.43746802,1.6280025
attn_2_0_outputs,<pad>,0.40040308,-0.7255481,-0.17841204,-0.697172,0.07716934
attn_2_0_outputs,<s>,-1.1453148,-0.75830734,-0.005897508,0.8231496,1.3954885
attn_2_1_outputs,0,4.0535955,3.5806677,0.5907975,-4.0694637,-6.0196342
attn_2_1_outputs,1,0.12768616,3.1768007,-1.2887915,0.21479757,-0.8483111
attn_2_1_outputs,2,-2.0041184,-1.8461977,-0.04264234,0.81484216,2.7021322
attn_2_1_outputs,3,-1.2858589,-0.861424,0.3178099,1.5846136,0.892588
attn_2_1_outputs,4,-6.2278085,-5.1255217,-1.2915521,1.3375355,7.687292
attn_2_1_outputs,</s>,-0.639022,-0.88718235,-0.20150009,0.20758975,0.76800966
